ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
444,poor,24,existing  credits paid back duly till now,furniture/equipment,2039,poor,less than 1  year,less,male,married,0,less than 1 year,insurance,22,none,own,1,skilled,0,1,1,Bad,Youth,more than 2 year,middle
445,Negative,24,existing  credits paid back duly till now,new car,1381,none,1 to 4 years,most,female,married,0,1 to 4 years,insurance,35,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
446,no account,48,delay history,furniture/equipment,7238,none,more than 7 years,moderate,male,single,0,4 to 7 years,saving,32,bank,own,more than 1,skilled,1,0,1,Good,Adult,more than 2 year,middle
447,poor,45,existing  credits paid back duly till now,furniture/equipment,3031,moderate,1 to 4 years,most,male,single,1,more than 7 years,insurance,21,none,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
448,poor,36,existing  credits paid back duly till now,education,2273,poor,4 to 7 years,moderate,male,single,0,less than 1 year,saving,32,none,own,more than 1,skilled,1,0,1,Good,Adult,more than 2 year,middle
449,no account,24,existing  credits paid back duly till now,furniture/equipment,1311,moderate,4 to 7 years,most,male,married,0,4 to 7 years,insurance,26,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
450,Negative,18,existing  credits paid back duly till now,new car,4380,moderate,1 to 4 years,moderate,male,single,0,more than 7 years,saving,35,none,own,1,unskilled,1,1,1,Good,Adult,within 2 year,middle
451,no account,30,other bank,furniture/equipment,2831,poor,1 to 4 years,most,female,married,0,1 to 4 years,saving,33,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
452,Negative,12,existing  credits paid back duly till now,education,684,poor,1 to 4 years,most,male,single,0,more than 7 years,saving,40,none,rent,1,unskilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
453,Negative,18,existing  credits paid back duly till now,domestic appliances,1217,poor,1 to 4 years,most,male,married,0,4 to 7 years,property,47,none,own,1,unskilled,0,1,1,Bad,Old.Adult,within 2 year,less than 2k
454,Negative,24,existing  credits paid back duly till now,used car,2924,poor,1 to 4 years,moderate,male,single,1,more than 7 years,none,63,bank,own,1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
455,no account,36,delay history,furniture/equipment,4454,poor,1 to 4 years,most,female,married,0,more than 7 years,property,34,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
456,Negative,24,all credits at this bank paid back duly,furniture/equipment,3552,poor,4 to 7 years,moderate,male,single,0,more than 7 years,saving,27,bank,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
457,Negative,12,existing  credits paid back duly till now,furniture/equipment,1107,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,20,none,rent,1,office,1,1,1,Good,Youth,within 2 year,less than 2k
458,no account,48,other bank,business,7629,none,more than 7 years,most,male,single,0,1 to 4 years,saving,46,bank,own,more than 1,office,1,0,1,Good,Old.Adult,more than 2 year,middle
459,poor,11,delay history,furniture/equipment,4771,poor,4 to 7 years,moderate,male,single,0,more than 7 years,insurance,51,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,middle
460,poor,30,delay history,business,2503,moderate,more than 7 years,most,male,single,0,1 to 4 years,insurance,41,stores,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
461,Negative,24,all credits at this bank paid back duly,furniture/equipment,2828,moderate,1 to 4 years,most,male,single,0,more than 7 years,property,22,stores,own,1,skilled,0,1,1,Good,Youth,more than 2 year,middle
462,Negative,18,delay history,education,8471,none,1 to 4 years,less,female,married,0,1 to 4 years,saving,23,none,rent,more than 1,skilled,0,1,1,Good,Youth,within 2 year,middle
463,rich,12,existing  credits paid back duly till now,furniture/equipment,3016,poor,1 to 4 years,moderate,male,married,0,less than 1 year,saving,24,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,middle
464,no account,30,delay history,business,4272,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,insurance,26,none,own,more than 1,unskilled,0,0,1,Good,Adult,more than 2 year,middle
465,poor,9,existing  credits paid back duly till now,furniture/equipment,1206,poor,more than 7 years,most,female,married,0,more than 7 years,property,25,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
466,poor,9,existing  credits paid back duly till now,business,1391,poor,1 to 4 years,moderate,male,married,0,less than 1 year,property,27,bank,own,1,skilled,0,1,1,Good,Adult,within 1 year,less than 2k
467,poor,18,existing  credits paid back duly till now,new car,5866,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,30,none,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
468,no account,12,other bank,furniture/equipment,3331,poor,more than 7 years,moderate,male,single,0,more than 7 years,insurance,42,stores,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,middle
469,no account,30,existing  credits paid back duly till now,used car,4811,none,4 to 7 years,moderate,female,married,0,more than 7 years,insurance,24,stores,rent,1,unskilled,0,0,1,Good,Youth,more than 2 year,middle
470,poor,12,existing  credits paid back duly till now,repairs,639,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,30,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
471,no account,21,existing  credits paid back duly till now,furniture/equipment,3160,none,more than 7 years,most,male,single,0,4 to 7 years,insurance,41,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
472,poor,60,existing  credits paid back duly till now,education,6288,poor,1 to 4 years,most,male,single,0,more than 7 years,none,42,none,free,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
473,Negative,24,all credits at this bank paid back duly,furniture/equipment,2483,moderate,1 to 4 years,most,male,single,0,more than 7 years,property,22,stores,own,1,skilled,0,1,1,Good,Youth,more than 2 year,middle
474,no account,10,existing  credits paid back duly till now,education,894,none,4 to 7 years,most,female,married,0,4 to 7 years,insurance,40,none,own,1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
475,rich,18,all credits at this bank paid back duly,furniture/equipment,1445,none,4 to 7 years,most,male,single,0,more than 7 years,saving,49,bank,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
476,rich,30,other bank,furniture/equipment,3017,poor,more than 7 years,most,male,single,0,more than 7 years,insurance,47,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
477,no account,36,existing  credits paid back duly till now,new car,3079,none,1 to 4 years,most,male,single,0,more than 7 years,property,36,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
478,no account,12,other bank,furniture/equipment,976,none,more than 7 years,most,male,single,0,more than 7 years,saving,35,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
479,no account,7,other bank,furniture/equipment,730,none,more than 7 years,most,male,single,0,1 to 4 years,insurance,46,none,rent,more than 1,unskilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
480,no account,39,existing  credits paid back duly till now,used car,8588,moderate,more than 7 years,most,male,single,0,1 to 4 years,saving,45,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
481,no account,12,other bank,business,1412,poor,1 to 4 years,most,female,married,1,1 to 4 years,property,29,none,own,more than 1,office,0,1,1,Good,Adult,within 2 year,less than 2k
482,no account,48,delay history,furniture/equipment,12749,moderate,4 to 7 years,most,male,single,0,less than 1 year,saving,37,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
483,Negative,30,existing  credits paid back duly till now,repairs,11998,poor,less than 1  year,less,male,single,0,less than 1 year,none,34,bank,own,1,unskilled,0,1,1,Bad,Adult,more than 2 year,more than 10k
484,Negative,12,existing  credits paid back duly till now,furniture/equipment,1680,moderate,more than 7 years,moderate,male,married,0,less than 1 year,property,35,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
485,Negative,24,existing  credits paid back duly till now,furniture/equipment,4020,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,27,stores,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
486,poor,24,existing  credits paid back duly till now,other,11328,poor,1 to 4 years,moderate,male,single,1,4 to 7 years,saving,29,bank,own,more than 1,office,0,1,1,Bad,Adult,more than 2 year,more than 10k
487,no account,24,other bank,furniture/equipment,2028,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,insurance,30,none,own,more than 1,unskilled,0,0,1,Good,Adult,more than 2 year,middle
488,no account,36,existing  credits paid back duly till now,furniture/equipment,2299,moderate,more than 7 years,most,male,single,0,more than 7 years,saving,39,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
489,rich,10,other bank,new car,781,poor,more than 7 years,most,male,single,0,more than 7 years,none,63,none,free,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
490,no account,12,existing  credits paid back duly till now,new car,3527,none,less than 1  year,moderate,male,single,0,4 to 7 years,insurance,45,none,own,1,office,1,1,1,Good,Old.Adult,within 2 year,middle
491,poor,6,existing  credits paid back duly till now,furniture/equipment,368,none,more than 7 years,most,male,single,0,more than 7 years,insurance,38,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
492,poor,48,all credits at this bank paid back duly,new car,12169,none,unemployed,most,male,single,1,more than 7 years,none,36,none,free,1,office,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
493,poor,18,existing  credits paid back duly till now,business,2622,moderate,1 to 4 years,most,male,single,0,more than 7 years,saving,34,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
494,Negative,21,other bank,new car,1602,poor,more than 7 years,most,male,married,0,4 to 7 years,saving,30,none,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
495,no account,24,other bank,furniture/equipment,2424,none,more than 7 years,most,male,single,0,more than 7 years,insurance,53,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
496,poor,15,other bank,furniture/equipment,1537,none,more than 7 years,most,male,single,1,more than 7 years,property,50,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
497,no account,12,all credits at this bank paid back duly,education,3447,moderate,1 to 4 years,most,female,married,0,4 to 7 years,property,35,none,own,1,unskilled,1,0,1,Good,Adult,within 2 year,middle
498,no account,15,existing  credits paid back duly till now,domestic appliances,1262,moderate,4 to 7 years,most,male,single,0,4 to 7 years,insurance,36,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
499,Negative,12,existing  credits paid back duly till now,education,902,poor,4 to 7 years,most,male,married,0,more than 7 years,insurance,21,none,rent,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
500,Negative,18,existing  credits paid back duly till now,furniture/equipment,4153,poor,1 to 4 years,moderate,male,single,1,4 to 7 years,saving,42,none,own,1,skilled,0,0,1,Bad,Old.Adult,within 2 year,middle
501,no account,24,existing  credits paid back duly till now,furniture/equipment,929,none,4 to 7 years,most,male,single,0,1 to 4 years,saving,31,stores,own,1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
502,poor,10,existing  credits paid back duly till now,new car,7308,poor,unemployed,moderate,male,single,0,more than 7 years,none,70,bank,free,1,office,0,1,1,Good,Old.Adult,within 1 year,middle
503,poor,30,no credits taken/ all credits paid back duly,business,4280,moderate,1 to 4 years,most,female,married,0,more than 7 years,saving,26,none,rent,more than 1,unskilled,0,0,1,Bad,Adult,more than 2 year,middle
504,poor,24,existing  credits paid back duly till now,furniture/equipment,2896,moderate,less than 1  year,moderate,male,single,0,less than 1 year,saving,29,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
505,no account,18,all credits at this bank paid back duly,new car,6458,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,39,bank,own,more than 1,office,1,1,1,Bad,Old.Adult,within 2 year,middle
506,no account,24,other bank,used car,4042,none,4 to 7 years,moderate,male,single,0,more than 7 years,insurance,43,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
507,poor,18,other bank,furniture/equipment,6361,poor,more than 7 years,moderate,male,single,0,less than 1 year,none,41,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
508,no account,6,existing  credits paid back duly till now,new car,3518,poor,1 to 4 years,moderate,male,single,1,4 to 7 years,insurance,26,none,rent,1,skilled,0,0,1,Good,Adult,within 1 year,middle
509,poor,36,delay history,new car,8086,moderate,more than 7 years,moderate,male,single,0,more than 7 years,saving,42,stores,own,more than 1,office,0,1,1,Bad,Old.Adult,more than 2 year,middle
510,no account,48,other bank,used car,2751,none,more than 7 years,most,male,single,0,4 to 7 years,saving,38,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
511,poor,12,existing  credits paid back duly till now,furniture/equipment,2762,none,more than 7 years,less,female,married,0,1 to 4 years,insurance,25,none,own,1,skilled,0,1,1,Bad,Adult,within 2 year,middle
512,Negative,6,existing  credits paid back duly till now,new car,1203,moderate,more than 7 years,moderate,male,single,0,1 to 4 years,insurance,43,none,own,1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
513,Negative,36,existing  credits paid back duly till now,used car,8229,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,insurance,26,none,own,1,skilled,1,0,1,Bad,Adult,more than 2 year,middle
514,poor,20,no credits taken/ all credits paid back duly,used car,6148,moderate,more than 7 years,moderate,male,married,0,more than 7 years,saving,31,bank,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
515,rich,36,existing  credits paid back duly till now,furniture/equipment,4210,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,26,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
516,Negative,24,existing  credits paid back duly till now,new car,1207,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,24,none,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,less than 2k
517,no account,10,other bank,furniture/equipment,2069,none,1 to 4 years,moderate,male,married,0,less than 1 year,saving,26,none,own,more than 1,skilled,0,0,0,Good,Adult,within 1 year,middle
518,Negative,27,no credits taken/ all credits paid back duly,business,5293,poor,unemployed,moderate,male,single,0,more than 7 years,insurance,50,none,own,more than 1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
519,Negative,42,delay history,furniture/equipment,4370,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,insurance,26,bank,own,more than 1,skilled,1,1,1,Bad,Adult,more than 2 year,middle
520,no account,12,other bank,furniture/equipment,1934,poor,more than 7 years,moderate,male,single,0,1 to 4 years,none,26,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
521,Negative,24,existing  credits paid back duly till now,furniture/equipment,4169,poor,1 to 4 years,most,male,single,0,more than 7 years,insurance,28,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
522,Negative,18,other bank,new car,3966,poor,more than 7 years,less,female,married,0,more than 7 years,property,33,bank,rent,more than 1,skilled,0,1,1,Bad,Adult,within 2 year,middle
523,poor,30,existing  credits paid back duly till now,furniture/equipment,2991,none,more than 7 years,moderate,female,married,0,more than 7 years,saving,25,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
524,Negative,27,existing  credits paid back duly till now,furniture/equipment,3416,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,27,none,own,1,office,0,0,1,Good,Adult,more than 2 year,middle
525,no account,36,existing  credits paid back duly till now,business,5742,moderate,4 to 7 years,moderate,male,single,0,1 to 4 years,saving,31,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,middle
526,poor,8,existing  credits paid back duly till now,furniture/equipment,1414,poor,1 to 4 years,most,male,single,1,1 to 4 years,property,33,none,own,1,skilled,0,0,0,Good,Adult,within 1 year,less than 2k
527,no account,48,other bank,used car,11590,moderate,1 to 4 years,moderate,female,married,0,more than 7 years,saving,24,none,rent,more than 1,unskilled,0,0,1,Bad,Youth,more than 2 year,more than 10k
528,Negative,24,existing  credits paid back duly till now,other,1755,poor,more than 7 years,most,female,married,1,more than 7 years,property,58,none,own,1,unskilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
529,no account,12,existing  credits paid back duly till now,furniture/equipment,3077,poor,1 to 4 years,moderate,male,single,0,more than 7 years,saving,52,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
530,Negative,24,delay history,furniture/equipment,1024,poor,less than 1  year,most,male,married,0,more than 7 years,property,48,stores,own,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,less than 2k
531,Negative,12,existing  credits paid back duly till now,furniture/equipment,1282,poor,1 to 4 years,moderate,female,married,0,more than 7 years,saving,20,none,rent,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
532,no account,18,other bank,used car,3229,none,unemployed,moderate,male,single,0,more than 7 years,none,38,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,middle
533,Negative,12,existing  credits paid back duly till now,used car,3386,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,35,none,free,1,skilled,0,1,1,Bad,Adult,within 2 year,middle
534,poor,24,other bank,business,2825,none,4 to 7 years,most,male,single,0,4 to 7 years,none,34,none,own,more than 1,skilled,1,1,1,Good,Adult,more than 2 year,middle
535,no account,15,existing  credits paid back duly till now,furniture/equipment,2186,none,4 to 7 years,less,female,married,0,more than 7 years,property,33,bank,rent,1,unskilled,0,0,1,Good,Adult,within 2 year,middle
536,Negative,30,existing  credits paid back duly till now,used car,3857,poor,1 to 4 years,most,male,single,0,more than 7 years,insurance,40,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
537,Negative,6,existing  credits paid back duly till now,furniture/equipment,428,poor,more than 7 years,moderate,female,married,0,less than 1 year,insurance,49,bank,own,1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
538,poor,24,existing  credits paid back duly till now,new car,1246,poor,less than 1  year,most,male,single,0,1 to 4 years,property,23,bank,own,1,unskilled,0,0,1,Bad,Youth,more than 2 year,less than 2k
539,no account,6,no credits taken/ all credits paid back duly,furniture/equipment,426,poor,more than 7 years,most,male,married,0,more than 7 years,saving,39,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
540,Negative,12,no credits taken/ all credits paid back duly,repairs,1108,poor,4 to 7 years,most,male,single,0,4 to 7 years,property,28,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
541,no account,6,existing  credits paid back duly till now,furniture/equipment,4611,poor,less than 1  year,less,female,married,0,more than 7 years,insurance,32,none,own,1,skilled,0,0,1,Bad,Adult,within 1 year,middle
542,poor,6,delay history,business,1449,moderate,more than 7 years,less,male,single,0,1 to 4 years,saving,31,bank,own,more than 1,skilled,1,0,1,Good,Adult,within 1 year,less than 2k
543,Negative,21,existing  credits paid back duly till now,furniture/equipment,2606,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,28,none,rent,1,office,0,1,1,Good,Adult,within 2 year,middle
544,Negative,24,existing  credits paid back duly till now,furniture/equipment,1823,poor,unemployed,most,male,single,0,1 to 4 years,saving,30,stores,own,1,office,1,0,1,Bad,Adult,more than 2 year,less than 2k
545,poor,27,existing  credits paid back duly till now,business,3915,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,36,none,own,1,skilled,1,1,1,Bad,Old.Adult,more than 2 year,middle
546,no account,48,other bank,new car,10127,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,none,44,none,free,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,more than 10k
547,poor,24,other bank,education,5743,poor,less than 1  year,moderate,female,married,0,more than 7 years,none,24,none,free,more than 1,skilled,0,1,1,Good,Youth,more than 2 year,middle
548,no account,18,existing  credits paid back duly till now,business,1568,moderate,1 to 4 years,moderate,female,married,0,more than 7 years,insurance,24,none,rent,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
549,no account,24,delay history,new car,2538,poor,more than 7 years,most,male,single,0,more than 7 years,saving,47,none,own,more than 1,unskilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
550,no account,14,delay history,new car,802,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,27,none,own,more than 1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
551,poor,10,existing  credits paid back duly till now,furniture/equipment,1521,poor,1 to 4 years,most,male,single,0,1 to 4 years,saving,31,none,own,1,unskilled,0,0,1,Good,Adult,within 1 year,less than 2k
552,no account,24,other bank,furniture/equipment,2611,poor,more than 7 years,most,male,married,1,4 to 7 years,property,46,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
553,no account,24,other bank,furniture/equipment,1851,poor,4 to 7 years,most,male,married,1,1 to 4 years,saving,33,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
554,Negative,10,other bank,furniture/equipment,2132,none,less than 1  year,moderate,female,married,1,4 to 7 years,property,27,none,rent,more than 1,skilled,0,0,0,Good,Adult,within 1 year,middle
555,poor,24,other bank,used car,7758,rich,more than 7 years,moderate,female,married,0,more than 7 years,none,29,none,rent,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
556,no account,6,other bank,furniture/equipment,1740,poor,more than 7 years,moderate,male,married,0,1 to 4 years,property,30,none,rent,more than 1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
557,no account,36,other bank,used car,11054,none,1 to 4 years,most,male,single,0,1 to 4 years,saving,30,none,own,1,office,0,1,1,Good,Adult,more than 2 year,more than 10k
558,no account,24,other bank,furniture/equipment,2684,poor,1 to 4 years,most,male,single,0,1 to 4 years,property,35,none,own,more than 1,unskilled,0,0,1,Good,Adult,more than 2 year,middle
559,Negative,9,existing  credits paid back duly till now,new car,1422,poor,less than 1  year,moderate,male,single,0,1 to 4 years,none,27,none,free,1,office,0,1,1,Bad,Adult,within 1 year,less than 2k
560,Negative,12,existing  credits paid back duly till now,furniture/equipment,1289,poor,1 to 4 years,most,male,single,1,less than 1 year,insurance,21,none,own,1,unskilled,0,0,1,Good,Youth,within 2 year,less than 2k
561,Negative,42,existing  credits paid back duly till now,furniture/equipment,7882,poor,4 to 7 years,moderate,male,single,1,more than 7 years,insurance,45,none,free,1,skilled,1,0,1,Good,Old.Adult,more than 2 year,middle
562,no account,12,existing  credits paid back duly till now,new car,1386,moderate,1 to 4 years,moderate,female,married,0,1 to 4 years,insurance,26,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
563,rich,6,existing  credits paid back duly till now,furniture/equipment,2116,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,41,none,own,1,skilled,0,1,1,Good,Old.Adult,within 1 year,middle
564,Negative,24,existing  credits paid back duly till now,furniture/equipment,3660,poor,1 to 4 years,moderate,female,married,0,more than 7 years,saving,28,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
565,no account,15,other bank,furniture/equipment,1520,none,more than 7 years,most,male,single,0,more than 7 years,insurance,63,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
566,Negative,36,existing  credits paid back duly till now,furniture/equipment,5179,poor,4 to 7 years,most,male,single,0,1 to 4 years,insurance,29,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
567,rich,6,other bank,new car,1343,poor,more than 7 years,less,male,single,0,more than 7 years,property,46,none,own,more than 1,skilled,1,0,0,Good,Old.Adult,within 1 year,less than 2k
568,Negative,12,existing  credits paid back duly till now,furniture/equipment,1262,none,more than 7 years,moderate,male,single,0,more than 7 years,insurance,49,none,own,1,unskilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
569,no account,15,other bank,furniture/equipment,2788,poor,4 to 7 years,moderate,female,married,1,4 to 7 years,saving,24,bank,own,more than 1,skilled,0,0,1,Good,Youth,within 2 year,middle
570,Negative,12,existing  credits paid back duly till now,furniture/equipment,2577,poor,1 to 4 years,moderate,male,single,0,less than 1 year,saving,42,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,middle
571,Negative,12,other bank,new car,691,poor,more than 7 years,most,male,single,0,4 to 7 years,insurance,35,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
572,poor,24,existing  credits paid back duly till now,furniture/equipment,3069,moderate,more than 7 years,most,male,single,0,more than 7 years,none,30,none,free,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
573,poor,36,delay history,business,9857,moderate,4 to 7 years,less,male,single,0,4 to 7 years,insurance,31,none,own,more than 1,unskilled,1,1,1,Good,Adult,more than 2 year,middle
574,poor,18,existing  credits paid back duly till now,furniture/equipment,866,poor,1 to 4 years,most,male,married,1,1 to 4 years,property,25,none,own,1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
575,no account,27,existing  credits paid back duly till now,new car,2570,poor,1 to 4 years,moderate,female,married,0,4 to 7 years,property,21,none,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
576,Negative,9,existing  credits paid back duly till now,furniture/equipment,1364,poor,4 to 7 years,moderate,male,single,0,more than 7 years,property,59,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
577,Negative,18,existing  credits paid back duly till now,furniture/equipment,2600,poor,1 to 4 years,most,male,single,0,more than 7 years,none,65,none,free,more than 1,skilled,0,0,1,Bad,Old.Adult,within 2 year,middle
578,no account,21,other bank,new car,12680,none,more than 7 years,most,male,single,0,more than 7 years,none,30,none,free,1,office,0,1,1,Bad,Adult,within 2 year,more than 10k
579,Negative,12,existing  credits paid back duly till now,new car,1168,poor,1 to 4 years,most,male,married,0,4 to 7 years,property,27,none,own,1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
580,rich,15,other bank,used car,2360,moderate,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,36,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
581,rich,12,existing  credits paid back duly till now,furniture/equipment,3399,none,more than 7 years,moderate,male,single,0,4 to 7 years,saving,37,none,own,1,office,0,0,1,Good,Old.Adult,within 2 year,middle
582,no account,15,existing  credits paid back duly till now,furniture/equipment,2221,moderate,1 to 4 years,moderate,female,married,0,more than 7 years,saving,20,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,middle
583,Negative,18,all credits at this bank paid back duly,new car,1442,poor,4 to 7 years,most,male,single,0,more than 7 years,none,32,bank,free,more than 1,unskilled,1,0,1,Bad,Adult,within 2 year,less than 2k
584,no account,30,other bank,furniture/equipment,5771,poor,4 to 7 years,most,female,married,0,1 to 4 years,saving,25,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
585,Negative,15,other bank,furniture/equipment,975,poor,1 to 4 years,moderate,male,single,0,4 to 7 years,insurance,25,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
586,poor,15,no credits taken/ all credits paid back duly,new car,1778,poor,less than 1  year,moderate,female,married,0,less than 1 year,property,26,none,rent,more than 1,unemployed,0,0,1,Bad,Adult,within 2 year,less than 2k
587,no account,12,other bank,new car,926,poor,unemployed,less,female,married,0,1 to 4 years,insurance,38,none,own,1,unemployed,0,0,1,Good,Old.Adult,within 2 year,less than 2k
588,no account,18,other bank,new car,1028,poor,1 to 4 years,most,female,married,0,4 to 7 years,property,36,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
589,Negative,24,delay history,new car,1333,poor,unemployed,most,male,single,0,1 to 4 years,property,43,none,free,more than 1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,less than 2k
590,Negative,14,existing  credits paid back duly till now,new car,8978,poor,more than 7 years,less,male,single,0,more than 7 years,insurance,45,none,own,1,office,0,1,0,Bad,Old.Adult,within 2 year,middle
